species name (Kudrna et al. 2011);full species name (Kudrna et al. 2011);Family;range.size;temp.mean;temp.ci.95.low;temp.ci.95.up;temp.min;temp.max;temp.sd;temp.median;range.ann.temp.mean;range.ann.temp.ci.95.low;range.ann.temp.ci.95.up;range.ann.temp.min;range.ann.temp.max.;range.ann.temp.sd;range.ann.temp.median;precip.mean;precip.ci.95.low;precip.ci.95.up;precip.min;precip.max;precip.sd;precip.median;range.ann.precip.mean;range.ann.precip.ci.95.low;range.ann.precip.ci.95.up;range.ann.precip.min;range.ann.precip.max;range.ann.precip.sd;range.ann.precip.median;gdd.feb.mean;gdd.feb.ci.95.low;gdd.feb.ci.95.up;gdd.feb.min;gdd.feb.max;gdd.feb.sd;gdd.feb.median;gdd.apr.mean;gdd.apr.ci.95.low;gdd.apr.ci.95.up;gdd.apr.min;gdd.apr.max;gdd.apr.sd;gdd.apr.median;gdd.june.mean;gdd.june.ci.95.low;gdd.june.ci.95.up;gdd.june.min;gdd.june.max;gdd.june.sd;gdd.june.median;gdd.aug.mean;gdd.aug.ci.95.low;gdd.aug.ci.95.up;gdd.aug.min;gdd.aug.max;gdd.aug.sd;gdd.aug.median;swc.mean;swc.ci.95.low;swc.ci.95.up;swc.min;swc.max;swc.sd;swc.median
Pontia daplidice;Pontia daplidice (Linnaeus, 1758);Pieridae;921;10.43;10.2;10.66;-0.74;18.64;3.55;9.9;18.28;18.08;18.47;9.98;27.81;3;18.16;730.71;716.15;745.27;260.25;1762.13;225.18;666.97;63.94;62;65.88;16.83;223.21;30;56;84.29;78.04;90.54;0.4;450.89;96.63;39.17;311.79;297.31;326.26;3.08;1064.24;223.86;237.04;956.93;932.7;981.17;100.8;2004.92;374.72;866.62;1862.09;1825.44;1898.74;372.71;3353.42;566.77;1718.9;0.4;0.39;0.41;0.15;0.84;0.11;0.39
Proterebia afer;Proterebia afer (Esper, 1783);Nymphalidae;5;11.98;9.73;14.22;10.59;14.36;1.81;10.8;19.13;17.91;20.35;17.94;20.19;0.98;19.19;792.23;576.57;1007.88;560.2;991.81;173.68;792.3;66.84;37.71;95.97;32.98;93.39;23.46;76.44;65.75;3.3;128.21;26.17;136.33;50.3;32.52;321.06;143.91;498.2;209.95;508.29;142.67;230.82;1065.41;774.53;1356.28;871.11;1371.8;234.26;925.61;2097.22;1695;2499.44;1828.76;2525.24;323.94;1910.45;0.36;0.22;0.51;0.24;0.5;0.12;0.31
Pseudochazara anthelea;Pseudochazara anthelea (Hübner, 1824);Nymphalidae;45;12.55;11.81;13.3;7.04;18.04;2.45;12.32;18.36;17.68;19.04;13.43;21.9;2.25;18.64;686.53;635.87;737.19;482.4;1310.13;166.62;658.29;77.78;65.14;90.41;26.81;162.69;41.56;76.94;99.92;72.47;127.36;11;399.94;90.27;65.81;376.04;318.23;433.85;104.9;961.31;190.15;322.66;1140.3;1050.88;1229.72;571.79;1932.68;294.12;1069.66;2183.75;2059.88;2307.62;1285.17;3178.57;407.43;2109.73;0.33;0.31;0.34;0.23;0.52;0.06;0.32
Pseudochazara cingovskii;Pseudochazara cingovskii (Gross, 1973);Nymphalidae;2;10.47;3.23;17.71;9.9;11.04;0.81;10.47;19.29;7.63;30.95;18.37;20.21;1.3;19.29;865.21;-1736.94;3467.37;660.42;1070.01;289.62;865.21;86.88;-488.94;662.69;41.56;132.2;64.09;86.88;30.85;-76.85;138.54;22.37;39.32;11.99;30.85;213.99;34.89;393.09;199.9;228.09;19.93;213.99;872.57;569.59;1175.55;848.72;896.41;33.72;872.57;1810.06;1193.93;2426.19;1761.57;1858.55;68.58;1810.06;0.33;-0.44;1.1;0.27;0.39;0.09;0.33
Pseudochazara geyeri;Pseudochazara geyeri (Herrich-Schäffer, 1845);Nymphalidae;6;10.81;9.2;12.43;9.56;13.6;1.54;10.25;20.13;19.29;20.96;18.75;21.09;0.79;20.14;659.38;528.65;790.1;482.4;842.32;124.57;676.9;45.28;26.61;63.94;30.84;77.12;17.79;38.19;39.45;10.63;68.26;19.39;89.83;27.46;26.1;255.65;149.03;362.27;157.76;440;101.59;217.73;959.13;741.55;1176.71;746.1;1332.22;207.33;888.94;1932;1599.63;2264.36;1611.99;2503.48;316.71;1824.17;0.28;0.25;0.3;0.26;0.31;0.02;0.27
Pseudochazara graeca;Pseudochazara graeca (Staudinger, 1870);Nymphalidae;19;12.71;11.81;13.61;9.78;15.96;1.87;12.44;18.03;17.41;18.65;16.01;20.21;1.28;18.16;742.4;669.71;815.09;559.08;1070.01;150.81;733.52;93.24;77.91;108.58;34.83;162.53;31.82;90.09;90.63;62.57;118.7;19.42;218.54;58.23;80.95;354.7;286.39;423.01;142.88;660.75;141.72;317.16;1118.01;1003.67;1232.34;730.9;1585.34;237.22;1049.85;2172.12;2010.17;2334.08;1618.39;2808.87;336.02;2074.1;0.35;0.32;0.38;0.26;0.49;0.06;0.35
Pseudochazara mniszechii;Pseudochazara mniszechii (Herrich-Schäffer, [1851]);Nymphalidae;6;11.34;8.85;13.83;9.03;15.96;2.37;10.71;18.94;17.49;20.39;16.73;20.7;1.38;18.93;845.54;636.64;1054.45;564.39;1070.01;199.06;852.13;90.45;38.76;142.14;29.63;162.53;49.26;81.98;61.22;-20.33;142.76;12.59;218.54;77.7;35.34;282.32;81.9;482.74;121.55;660.75;190.98;221.34;982.47;655.95;1309;677.57;1585.34;311.14;895.66;1970.39;1511.85;2428.94;1516.8;2808.87;436.95;1857.6;0.34;0.25;0.43;0.25;0.49;0.09;0.31
Pseudochazara orestes;Pseudochazara orestes Prins & Poorten, 1981;Nymphalidae;1;11.08;NA;NA;11.08;11.08;NA;11.08;19.7;NA;NA;19.7;19.7;NA;19.7;622.58;NA;NA;622.58;622.58;NA;622.58;38.02;NA;NA;38.02;38.02;NA;38.02;47.73;NA;NA;47.73;47.73;NA;47.73;270.7;NA;NA;270.7;270.7;NA;270.7;984.75;NA;NA;984.75;984.75;NA;984.75;1969;NA;NA;1969;1969;NA;1969;0.27;NA;NA;0.27;0.27;NA;0.27
Pseudochazara williamsi;Pseudochazara williamsi (Romei, 1927);Nymphalidae;5;13.8;10.9;16.71;11.53;17.49;2.34;13.23;17.1;14.96;19.24;14.11;18.34;1.72;17.55;485.66;313.62;657.7;260.25;630.58;138.56;498.94;50.28;33.27;67.29;31.51;64.13;13.7;53.3;157.7;-9.04;324.44;64.23;391.5;134.29;108.81;481.3;134.19;828.4;262.25;953.16;279.55;385.6;1210.02;722.11;1697.92;871.78;1847.58;392.95;1086.78;2338.65;1747.38;2929.92;1911.22;3085.8;476.19;2192.73;0.27;0.18;0.35;0.15;0.3;0.07;0.29
Pyrgus alveus;Pyrgus alveus (Hübner, 1803);Hesperiidae;476;7.98;7.67;8.28;-1.24;15.96;3.36;8.42;19.26;19;19.52;11.35;27.17;2.88;19.28;793.88;771.11;816.64;315.7;1782.31;252.81;716.51;58.39;56.26;60.52;16.83;205.57;23.65;53.22;36.94;33.19;40.68;0.07;273.45;41.55;22.54;182.03;169.99;194.08;0.19;703.98;133.75;169.99;720.51;693.79;747.23;84.45;1585.34;296.7;721.76;1499.62;1455.77;1543.47;292.41;2824.22;486.88;1503.55;0.45;0.44;0.46;0.15;0.84;0.13;0.44
