species name (Kudrna et al. 2011);full species name (Kudrna et al. 2011);Family;range.size;temp.mean;temp.ci.95.low;temp.ci.95.up;temp.min;temp.max;temp.sd;temp.median;range.ann.temp.mean;range.ann.temp.ci.95.low;range.ann.temp.ci.95.up;range.ann.temp.min;range.ann.temp.max.;range.ann.temp.sd;range.ann.temp.median;precip.mean;precip.ci.95.low;precip.ci.95.up;precip.min;precip.max;precip.sd;precip.median;range.ann.precip.mean;range.ann.precip.ci.95.low;range.ann.precip.ci.95.up;range.ann.precip.min;range.ann.precip.max;range.ann.precip.sd;range.ann.precip.median;gdd.feb.mean;gdd.feb.ci.95.low;gdd.feb.ci.95.up;gdd.feb.min;gdd.feb.max;gdd.feb.sd;gdd.feb.median;gdd.apr.mean;gdd.apr.ci.95.low;gdd.apr.ci.95.up;gdd.apr.min;gdd.apr.max;gdd.apr.sd;gdd.apr.median;gdd.june.mean;gdd.june.ci.95.low;gdd.june.ci.95.up;gdd.june.min;gdd.june.max;gdd.june.sd;gdd.june.median;gdd.aug.mean;gdd.aug.ci.95.low;gdd.aug.ci.95.up;gdd.aug.min;gdd.aug.max;gdd.aug.sd;gdd.aug.median;swc.mean;swc.ci.95.low;swc.ci.95.up;swc.min;swc.max;swc.sd;swc.median
Danaus plexippus;Danaus plexippus (Linnaeus, 1758);Nymphalidae;15;15.98;15;16.96;11.1;17.93;1.77;16.45;13.21;11.9;14.52;9.98;17.66;2.36;12.22;698.96;563.36;834.55;414.75;1316.29;244.86;632.06;110.89;91.16;130.62;46.84;180.65;35.63;115.08;329.29;265.89;392.69;56.45;450.89;114.49;374.87;825.11;698.7;951.51;247.63;1064.24;228.26;904.05;1631.31;1463.8;1798.82;837.5;1967.07;302.49;1707.36;2743.32;2543.13;2943.51;1814.13;3207.75;361.5;2795.77;0.36;0.31;0.41;0.25;0.58;0.1;0.33
Erebia aethiopella;Erebia aethiopella (Hoffmannsegg, 1806);Nymphalidae;10;7.27;4.26;10.28;1.28;13.43;4.2;8.77;15.86;15.47;16.25;15.22;16.94;0.55;15.79;1108.95;946.29;1271.61;840.69;1463.42;227.39;1016.46;74.29;61.27;87.31;52.52;105.94;18.2;71.3;33.63;3.15;64.11;0.4;141.44;42.61;30.15;135.63;32.42;238.85;3.08;447.03;144.28;129.92;519.65;262.09;777.21;100.8;1156.37;360.05;564.48;1196.16;755.57;1636.76;408.98;2197.03;615.91;1322.57;0.52;0.44;0.61;0.4;0.74;0.12;0.46
Erebia aethiops;Erebia aethiops (Esper, 1777);Nymphalidae;326;8.1;7.86;8.35;0.85;14.36;2.25;8.3;17.77;17.43;18.1;8.78;23.24;3.08;18.21;956.83;914.51;999.14;483.92;3042.73;388.38;856.1;68.36;64.86;71.87;16.83;242.55;32.17;62.15;29.4;26.77;32.03;0.4;158.66;24.13;24.94;169.96;160.19;179.73;3.08;523.94;89.64;167.58;684.85;659.27;710.42;100.8;1371.8;234.73;708.36;1426.91;1383.29;1470.54;372.71;2525.24;400.36;1477.98;0.5;0.49;0.51;0.26;0.84;0.13;0.47
Erebia alberganus;Erebia alberganus (Prunner, 1798);Nymphalidae;65;6.96;5.99;7.94;0.85;14.95;3.94;6.46;17.06;16.66;17.46;14.44;22.59;1.61;16.62;1123.54;1062.14;1184.93;585.68;1577.23;247.76;1077.52;75.22;69.87;80.58;37.29;141;21.62;73.27;27.73;18.34;37.12;0.4;197.73;37.91;13.25;138.18;104.22;172.14;3.08;578.88;137.04;84.87;556.14;467.99;644.29;100.8;1390.1;355.75;478.91;1232.47;1079.15;1385.79;372.71;2544.75;618.76;1124.14;0.58;0.55;0.62;0.26;0.84;0.14;0.58
Erebia calcaria;Erebia calcaria Lorkovic, 1953;Nymphalidae;9;8.3;6.47;10.12;5.56;12.52;2.38;8.33;18.45;17.4;19.5;16.08;21.35;1.37;18.49;1386.32;1154.01;1618.63;951.54;1782.31;302.22;1371.13;89.66;76.85;102.46;52.28;103.32;16.66;98.87;21.06;10.69;31.43;4.95;39.84;13.49;18.73;165.5;92.55;238.44;59.02;354.03;94.9;172.79;692.63;498.89;886.36;379.49;1183.43;252.04;708.48;1474.16;1146.58;1801.74;940.09;2297.1;426.17;1499.44;0.64;0.57;0.72;0.45;0.76;0.1;0.69
Erebia cassioides;Erebia cassioides (Reiner & Hohenwarth, 1792);Nymphalidae;65;8.01;7.31;8.72;1.28;14.72;3.4;8.64;16.91;16.51;17.32;10.72;22.59;1.94;16.5;1042.27;994.66;1089.88;572.99;1782.31;228.6;1018.5;67.28;62.73;71.82;29.39;144.36;21.82;62.55;39.92;29.21;50.63;0.4;291.74;51.42;22.37;167.72;138.05;197.39;3.08;705.12;142.45;134.89;625.63;559.55;691.7;100.8;1358.44;317.28;591.4;1360.64;1250.86;1470.43;408.98;2489.81;527.15;1325.35;0.51;0.48;0.53;0.24;0.84;0.13;0.48
Erebia christi;Erebia christi Rätzer, 1890;Nymphalidae;1;1.7;NA;NA;1.7;1.7;NA;1.7;15.28;NA;NA;15.28;15.28;NA;15.28;1544;NA;NA;1544;1544;NA;1544;89.38;NA;NA;89.38;89.38;NA;89.38;0.97;NA;NA;0.97;0.97;NA;0.97;14.73;NA;NA;14.73;14.73;NA;14.73;149.95;NA;NA;149.95;149.95;NA;149.95;460.19;NA;NA;460.19;460.19;NA;460.19;0.79;NA;NA;0.79;0.79;NA;0.79
Erebia claudina;Erebia claudina (Borkhausen, 1789);Nymphalidae;8;5.52;3.9;7.15;2.64;8.61;1.94;5.35;18.11;16.99;19.23;16.12;19.87;1.34;18.17;1364.69;1204.31;1525.07;1069.7;1577.23;191.83;1406.92;98.85;93.89;103.82;88.79;106.13;5.94;99.17;7.96;3.88;12.03;3.97;18.34;4.88;6.38;76.83;29.2;124.47;19.67;184.27;56.98;57.14;449.39;286.81;611.97;197.5;773.9;194.47;419.92;1042.74;761.06;1324.43;578.72;1586.24;336.94;1002.19;0.74;0.66;0.81;0.58;0.84;0.09;0.75
Erebia disa;Erebia disa (Becklin, 1791);Nymphalidae;36;-1.44;-1.8;-1.08;-3.1;0.95;1.05;-1.65;25.88;24.75;27.01;18.54;29.55;3.35;27.39;546.95;494.87;599.04;418.38;1094.37;153.94;507.1;44.68;40.96;48.4;24.47;69.9;10.99;43.03;5.62;3.96;7.28;1.3;29.52;4.89;4.14;10.17;7.8;12.54;2.29;43.3;7;8.45;187.1;170.61;203.58;105.42;292.43;48.72;177.76;580.61;543.79;617.43;370.16;810.78;108.81;567.17;0.57;0.55;0.6;0.5;0.79;0.06;0.56
Erebia embla;Erebia embla (Becklin, 1791);Nymphalidae;123;1.77;1.4;2.14;-3.1;5.88;2.09;2.1;25.15;24.72;25.57;20.16;29.55;2.38;25.28;586.24;574.85;597.63;428.69;735.21;63.81;595.9;47.18;45.95;48.4;27.46;63.3;6.84;46.17;10.26;9.4;11.11;1.46;20.48;4.79;10.29;26.07;23.16;28.98;4.24;90.41;16.29;24.55;353.27;335.64;370.9;127.19;602.6;98.76;361.5;909.64;876.08;943.2;451.77;1312.46;188.04;929.25;0.48;0.47;0.49;0.38;0.6;0.05;0.47
Erebia epiphron;Erebia epiphron (Knoch, 1783);Nymphalidae;137;7.52;6.98;8.07;0.85;14.95;3.24;7.5;17.08;16.67;17.49;10.4;23.24;2.43;16.94;1088.96;1025.13;1152.79;530.2;3042.73;377.78;1018.5;77.67;72.53;82.81;30.84;242.55;30.42;76.64;32.41;25.52;39.3;0.4;197.73;40.76;15.77;152.28;130.89;173.67;3.08;578.88;126.6;115.39;599.49;549.04;649.94;100.8;1390.1;298.6;560.76;1301.45;1215.38;1387.52;372.71;2544.75;509.45;1253.73;0.55;0.53;0.57;0.27;0.84;0.14;0.51
Erebia epistygne;Erebia epistygne (Hübner, 1819);Nymphalidae;24;10.93;9.91;11.94;3.58;13.91;2.41;11.24;16.87;16.43;17.3;14.91;18.69;1.03;16.87;740.67;651.89;829.46;434.28;1289.77;210.26;699.28;55.97;50.14;61.81;35.83;86.08;13.82;54.94;73.17;53.18;93.17;0.99;165.53;47.35;61.22;271.56;210.36;332.77;5.38;502.66;144.95;254.34;857.27;735.48;979.07;166.78;1302.6;288.44;865.23;1793;1606.2;1979.81;609.5;2414.51;442.39;1833.2;0.36;0.33;0.4;0.24;0.59;0.09;0.39
Erebia eriphyle;Erebia eriphyle (Freyer, 1836);Nymphalidae;34;4.44;3.7;5.19;0.85;8.61;2.14;4.41;16.86;16.36;17.36;14.44;19.87;1.43;16.5;1270.11;1204.76;1335.46;905.42;1577.23;187.29;1272.14;90.2;85.19;95.21;51.68;118.59;14.35;90.94;7.58;5.14;10.02;0.78;29.55;6.99;5.06;57.12;40.34;73.89;6.26;184.27;48.08;47.22;350.99;287.58;414.4;111.96;773.9;181.73;325.54;858.28;742.53;974.04;372.71;1586.24;331.77;824.14;0.71;0.69;0.74;0.53;0.84;0.08;0.72
Erebia euryale;Erebia euryale (Esper, 1805);Nymphalidae;203;7.74;7.36;8.13;0.85;14.95;2.78;7.79;18.32;18.01;18.63;10.72;23.24;2.23;18.6;961.03;924.64;997.42;482.4;1782.31;262.94;927.14;70.1;67.41;72.78;29.63;118.59;19.39;69.97;28.72;23.3;34.14;0.4;291.74;39.19;17.86;162.82;146.74;178.89;3.08;705.12;116.13;149.61;659.64;622.06;697.22;100.8;1390.1;271.56;654.93;1397.82;1335.28;1460.36;372.71;2544.75;451.9;1400.66;0.51;0.49;0.53;0.25;0.84;0.13;0.48
Erebia flavofasciata;Erebia flavofasciata Heyne, 1895;Nymphalidae;5;3.93;1.64;6.23;1.7;6.12;1.85;3.21;15.8;15.19;16.4;15.28;16.47;0.49;15.74;1320.71;1085.56;1555.86;1101.24;1544;189.38;1371.13;91.84;77.51;106.17;77.34;107.06;11.54;89.38;3.57;0.97;6.17;0.97;5.59;2.09;4.65;36.92;7.14;66.7;14.73;65.51;23.99;29.6;278.17;137.04;419.31;149.95;414.58;113.67;237.02;733.83;443.2;1024.46;460.19;1014.08;234.06;643.69;0.71;0.65;0.78;0.66;0.79;0.05;0.71
Erebia gorge;Erebia gorge (Esper, 1805);Nymphalidae;92;6.89;6.2;7.57;0.85;14.95;3.3;6.79;17.54;17.12;17.95;13.84;23.24;2.01;17.12;1080.06;1024.02;1136.1;565.4;1782.31;270.6;1054.33;76.01;71.82;80.21;34.83;118.59;20.27;78.88;25.79;18.27;33.32;0.4;197.73;36.35;11.73;134.83;109.87;159.78;3.08;578.88;120.52;102.42;562.4;498.69;626.11;100.8;1390.1;307.63;534.19;1236.85;1127.99;1345.7;372.71;2544.75;525.63;1218.27;0.57;0.54;0.6;0.26;0.84;0.14;0.57
Erebia gorgone;Erebia gorgone Boisduval, 1833;Nymphalidae;13;9.57;7.62;11.53;4.49;13.7;3.24;10.24;16.14;15.74;16.54;15.31;17.74;0.67;16.02;975.28;836.33;1114.24;530.2;1285.86;229.95;935.3;54.8;50.07;59.52;41.4;64.97;7.82;56.09;68.95;39.41;98.49;4.32;148.36;48.89;78.09;238.86;141.3;336.43;15.31;499.63;161.45;269.54;732.1;517.73;946.47;206.38;1252.89;354.75;806.27;1555.24;1219.01;1891.46;710.79;2346.08;556.39;1666.25;0.46;0.42;0.5;0.32;0.55;0.06;0.46
Erebia hispania;Erebia hispania Butler, 1868;Nymphalidae;17;10.09;8.47;11.7;4.49;14.5;3.14;11.53;16.42;15.91;16.93;15.3;18.34;0.99;16.11;900.97;767.52;1034.43;483.59;1285.86;259.56;911.6;55.82;52.06;59.58;41.4;64.97;7.31;57.13;72.07;47.96;96.19;4.32;148.36;46.9;78.09;254.02;173.5;334.53;15.31;503.86;156.6;269.54;776.22;599.26;953.18;206.38;1303.69;344.18;871.78;1644.11;1360.63;1927.59;710.79;2506.4;551.36;1886.1;0.43;0.39;0.47;0.29;0.55;0.08;0.45
Erebia lefebvrei;Erebia lefebvrei Boisduval, 1828;Nymphalidae;12;8.98;7.06;10.91;4.49;12.43;3.04;10.1;15.86;15.6;16.12;15.3;16.5;0.41;15.97;1027.34;910.91;1143.76;755.97;1285.86;183.23;998.67;56.15;51.69;60.61;42.24;64.97;7.02;57.14;59.55;31.08;88.01;4.32;125.17;44.81;66.1;203.98;111.15;296.81;15.31;389.38;146.1;238.47;657.28;451.19;863.37;206.38;1030.89;324.36;757.15;1438.05;1115.26;1760.83;710.79;2015.39;508.03;1610.78;0.48;0.45;0.5;0.42;0.55;0.04;0.48
Erebia ligea;Erebia ligea (Linnaeus, 1758);Nymphalidae;564;5.51;5.21;5.8;-3.1;14.95;3.54;5.88;19.96;19.67;20.24;11.12;29.55;3.41;19.52;838.15;809.59;866.71;454.01;3039.21;345.31;719.12;61.62;59.24;64.01;25.45;247.18;28.83;53.12;19.86;18.16;21.56;0.06;197.73;20.54;16.7;99.98;92.13;107.83;0.06;578.88;94.97;68.46;522.69;501.37;544.01;67.27;1390.1;257.79;495.35;1171.5;1134.66;1208.34;253.1;2544.75;445.41;1158.8;0.5;0.49;0.51;0.26;0.89;0.13;0.46
Erebia manto;Erebia manto ([Schiffermüller], 1775);Nymphalidae;89;6.57;5.94;7.2;0.85;13.57;2.98;6.57;17.42;17.04;17.79;14.44;22.85;1.79;17.26;1130.76;1080.36;1181.16;647.99;1782.31;239.24;1077.52;76.03;71.43;80.64;31.27;118.59;21.86;80.35;22;15.67;28.34;0.4;158.66;30.07;11.66;119.96;97.86;142.06;3.08;495.05;104.9;95.45;528.6;471.03;586.17;100.8;1226.11;273.29;518.07;1180.1;1081.23;1278.96;372.71;2297.1;469.33;1172.22;0.6;0.57;0.63;0.37;0.84;0.13;0.6
Erebia medusa;Erebia medusa (Fabricius, 1787);Nymphalidae;361;8.4;8.17;8.64;0.85;15.96;2.27;8.49;18.98;18.76;19.19;13.39;24.37;2.04;19;823.66;797.41;849.92;482.4;1782.31;253.63;737.04;61.4;59.01;63.79;16.83;162.53;23.09;58.77;29.86;27.02;32.7;0.78;218.54;27.43;23.16;188.69;179.03;198.36;6.83;660.75;93.37;184.73;752.96;729.43;776.5;111.96;1585.34;227.37;761.51;1541.98;1502.8;1581.17;372.71;2808.87;378.57;1556.91;0.45;0.44;0.47;0.24;0.84;0.13;0.43
Erebia melampus;Erebia melampus (Fuesslin, 1775);Nymphalidae;56;5.74;4.88;6.59;0.85;13.43;3.2;5.67;16.95;16.54;17.36;14.44;21.36;1.53;16.5;1226.13;1168.92;1283.33;840.69;1682.89;213.61;1216.94;83;78.03;87.98;41.66;118.59;18.57;87.52;14.99;9.18;20.8;0.4;141.44;21.69;6.38;93.87;67.94;119.8;3.08;447.03;96.83;62.83;449.44;374.65;524.22;100.8;1183.43;279.25;423.28;1042.49;910.09;1174.89;372.71;2297.1;494.39;1017.26;0.65;0.62;0.68;0.4;0.84;0.12;0.68
Erebia melas;Erebia melas (Herbst, 1796);Nymphalidae;31;10.69;9.74;11.63;5.12;15.96;2.57;10.64;19.25;18.78;19.72;16.46;21.44;1.29;19.54;793.12;702.04;884.21;525.62;1682.89;248.32;737.04;78.04;65.45;90.62;29.63;162.53;34.31;77.61;52.7;35.14;70.27;4.59;218.54;47.88;32.84;266.61;219.71;313.51;80.99;660.75;127.86;237.38;951.2;860.04;1042.37;517.57;1585.34;248.54;913.15;1898.18;1752.11;2044.24;1134.65;2808.87;398.21;1856.65;0.38;0.34;0.42;0.25;0.69;0.1;0.35
Erebia meolans;Erebia meolans (Prunner, 1798);Nymphalidae;139;8.94;8.38;9.5;0.85;15.91;3.33;9.49;16.57;16.31;16.82;10.72;21.36;1.54;16.61;975.69;938.57;1012.82;477.64;1577.23;221.35;945.54;62.61;59.16;66.06;26.7;111.1;20.57;58.87;54.68;45.33;64.03;0.4;291.74;55.74;41.03;213.33;187.66;239;3.08;705.12;153.05;203.31;714.09;660.62;767.55;100.8;1576.57;318.81;720.27;1497.94;1410.12;1585.77;372.71;2824.22;523.65;1576.35;0.5;0.48;0.52;0.26;0.84;0.12;0.46
Erebia mnestra;Erebia mnestra (Esper, 1805);Nymphalidae;22;4.73;3.51;5.95;0.85;9.88;2.76;3.26;16.06;15.71;16.41;14.44;17.66;0.78;16.01;1202.21;1122.2;1282.22;921.11;1544;180.46;1167.64;72.49;64.59;80.38;41.66;107.06;17.81;72.1;9.92;4.84;15;0.78;41.24;11.45;4.2;56.21;32.98;79.43;6.26;169.62;52.38;29.15;334.9;250.63;419.18;111.96;685.71;190.08;239.85;850.6;687.67;1013.54;372.71;1529.66;367.48;645.53;0.63;0.58;0.68;0.4;0.81;0.12;0.67
Erebia montana;Erebia montana (Prunner, 1798);Nymphalidae;38;5.89;4.65;7.13;0.85;14.95;3.77;4.88;16.26;15.95;16.57;14.44;18.8;0.94;16.12;1149.45;1081.86;1217.03;709.83;1544;205.61;1138.06;75.13;69.4;80.87;41.66;107.06;17.44;76.99;21.82;9.02;34.63;0.4;197.73;38.95;5.27;101.11;59.65;142.56;3.08;578.88;126.12;51.66;443.35;339.1;547.6;100.8;1390.1;317.17;340.53;1037.01;853.53;1220.49;372.71;2544.75;558.21;864.49;0.6;0.56;0.64;0.4;0.81;0.13;0.63
Erebia neoridas;Erebia neoridas (Boisduval, 1828);Nymphalidae;48;10.06;9.22;10.91;3.25;14.95;2.91;10.17;16.36;16.11;16.61;15.03;17.95;0.85;16.21;936.69;886.5;986.89;530.2;1400.65;172.86;910.69;62.6;57.49;67.71;31.27;105.94;17.61;58.06;65.94;51.23;80.64;0.97;197.73;50.63;53.22;241.49;196.51;286.48;5.38;578.88;154.92;231.6;781.89;688.04;875.74;166.78;1390.1;323.21;798.51;1641.22;1494.24;1788.2;599.03;2544.75;506.2;1662.93;0.45;0.44;0.47;0.32;0.69;0.06;0.44
Erebia nivalis;Erebia nivalis Lorkovic & Lesse, 1954;Nymphalidae;14;3.49;2.49;4.5;0.85;5.91;1.74;3.23;16.68;16.03;17.34;14.82;18.19;1.13;16.39;1323.34;1231.38;1415.3;1101.24;1577.23;159.27;1316.05;95.54;88.36;102.72;69.97;118.59;12.44;97.38;5.2;3;7.41;0.97;13.34;3.82;3.98;36.55;21.73;51.36;6.83;86.21;25.66;26.97;278.92;206.48;351.35;111.96;473.54;125.45;241.5;724.86;581.65;868.08;372.71;1091.63;248.04;662.77;0.77;0.74;0.79;0.71;0.84;0.04;0.76
Erebia oeme;Erebia oeme (Esper, 1805);Nymphalidae;89;7.61;6.99;8.24;1.23;13.96;2.98;7.81;17.36;17.03;17.7;14.44;20.7;1.59;17.26;1067.8;1012.07;1123.54;530.2;1782.31;264.58;1059.58;66.27;61.25;71.29;30.84;118.59;23.83;57.9;31.8;24.28;39.32;0.97;158.66;35.7;19.14;151.72;127.1;176.35;5.38;499.63;116.9;134.11;608.7;549.36;668.04;112.24;1334.5;281.7;591.4;1324.05;1224.05;1424.04;377.09;2494.56;474.68;1317.08;0.55;0.51;0.58;0.26;0.84;0.15;0.51
Erebia orientalis;Erebia orientalis Elwes, 1900;Nymphalidae;5;9.4;6.66;12.14;6.3;11.6;2.21;8.83;20.61;19.1;22.13;19.31;22.59;1.22;20.4;658.3;552.48;764.12;565.4;765.45;85.23;656.17;40.4;32.87;47.92;34.83;49.88;6.06;37.29;26.87;4.84;48.91;8.92;52.88;17.75;19.14;216.24;105.6;326.89;100.33;311.57;89.11;189.23;861.61;570.27;1152.95;536.89;1127.74;234.63;804;1748.2;1258.92;2237.48;1202.33;2193.23;394.05;1643.57;0.32;0.24;0.39;0.26;0.39;0.06;0.32
Erebia ottomana;Erebia ottomana Herrich-Schäffer, 1847;Nymphalidae;42;10.34;9.61;11.08;6.3;15.96;2.36;10.27;19.29;18.83;19.75;15.74;22.59;1.47;19.41;832.04;765.15;898.94;482.4;1434.25;214.68;767.35;65.19;54.37;76.01;29.63;162.53;34.73;50.48;45.59;32.09;59.08;6.65;218.54;43.31;28.97;246.34;206.7;285.98;75.32;660.75;127.21;217.73;903.83;823.19;984.48;489.67;1585.34;258.8;888.94;1831.58;1704.53;1958.62;1148.39;2808.87;407.68;1838.88;0.37;0.34;0.4;0.25;0.54;0.08;0.35
Erebia palarica;Erebia palarica Chapman, 1905;Nymphalidae;5;10.26;7.93;12.6;8.64;13.38;1.88;9.59;13.72;11.98;15.47;11.39;15.2;1.41;13.99;1021.59;962.51;1080.66;945.54;1066.09;47.58;1024.46;70.91;48.84;92.99;61.87;102.68;17.78;63.55;94.07;-4.68;192.83;43.44;235.4;79.53;64.45;282.53;64.11;500.96;153.37;591.11;175.91;216.17;755.92;422.78;1089.07;536.21;1210.02;268.3;652.78;1536.83;1108.33;1965.33;1238.49;2100.7;345.1;1402;0.47;0.41;0.53;0.44;0.55;0.05;0.46
Erebia pandrose;Erebia pandrose (Borkhausen, 1788);Nymphalidae;194;2.92;2.35;3.5;-3.72;13.43;4.05;2.19;19.66;19.08;20.25;12.69;29.55;4.12;18.96;953.89;894.85;1012.92;418.38;2908.6;416.9;872.05;71.22;66.5;75.94;24.47;247.18;33.34;60.28;11.88;8.95;14.8;0.06;141.44;20.64;5.39;57.02;45;69.04;0.06;447.03;84.88;16.94;334.89;299.37;370.42;67.27;1159.46;250.9;221.5;826.06;762.07;890.04;253.1;2256.91;451.89;644.26;0.61;0.59;0.63;0.32;0.86;0.12;0.59
Erebia pharte;Erebia pharte (Hübner, 1804);Nymphalidae;59;5.44;4.78;6.1;0.85;9.88;2.55;5.56;17.3;16.84;17.76;14.44;22.85;1.75;16.94;1210.59;1146.47;1274.72;647.99;1782.31;246.06;1190.39;82.81;77.82;87.8;41.66;118.59;19.14;86.09;10.92;8.31;13.53;0.4;41.24;10.02;7.76;80.23;63.09;97.36;3.08;242.37;65.77;70.19;430.3;371.19;489.4;100.8;969.53;226.79;454.9;1009.14;904.15;1114.14;372.71;1905.7;402.89;1074.28;0.65;0.61;0.68;0.37;0.84;0.12;0.67
Erebia pluto;Erebia pluto (Prunner, 1798);Nymphalidae;51;5.92;4.94;6.89;0.85;13.43;3.47;5.56;16.63;16.29;16.96;14.44;21.36;1.2;16.47;1164.36;1097.3;1231.43;769.04;1782.31;238.43;1149.67;78;72.43;83.58;41.66;118.59;19.82;80.35;19.45;11.29;27.61;0.4;141.44;29.01;7.76;99.04;67.74;130.34;3.08;447.03;111.29;60.14;453.2;369.32;537.08;100.8;1175.99;298.24;414.58;1053.84;905.82;1201.87;372.71;2264.78;526.3;1014.08;0.62;0.58;0.66;0.4;0.84;0.13;0.65
Erebia polaris;Erebia polaris Staudinger, 1861;Nymphalidae;16;-1.95;-2.36;-1.55;-3.1;0.04;0.75;-2.04;25.68;24;27.35;18.72;29.34;3.14;26.77;520.69;470.24;571.13;432.32;762.25;94.67;488.57;38.37;33.76;42.98;24.47;51.52;8.65;40.77;8.52;4.6;12.45;2.75;29.52;7.36;5.3;13.81;8.27;19.34;3.83;43.3;10.39;9.62;165.43;146.65;184.21;84.53;213.04;35.24;162.85;532.87;484.96;580.79;326.27;660;89.92;526.37;0.58;0.55;0.61;0.52;0.76;0.05;0.57
Erebia pronoe;Erebia pronoe (Esper, 1780);Nymphalidae;81;6.86;6.23;7.49;1.23;13.7;2.85;6.88;17.89;17.5;18.28;14.44;22.85;1.77;17.76;1108.58;1049.98;1167.17;530.2;1782.31;264.98;1063.45;75.45;70.41;80.49;30.84;118.59;22.79;80.14;20.8;15.16;26.44;0.97;148.36;25.51;12.27;127.46;105.17;149.74;7.36;499.63;100.79;100.49;563.8;503.76;623.83;112.24;1252.89;271.53;530.59;1242.37;1139.09;1345.64;377.09;2346.08;467.06;1194.66;0.58;0.55;0.61;0.26;0.84;0.14;0.58
Erebia rhodopensis;Erebia rhodopensis Nicholl, 1900;Nymphalidae;10;10.04;8.11;11.96;6.3;15.96;2.7;9.62;19.89;18.83;20.95;16.73;22.59;1.48;20.02;784.06;643.15;924.98;565.4;1153.2;196.98;717.66;58.47;29.78;87.16;30.84;162.53;40.11;41.03;44.2;-0.56;88.95;8.92;218.54;62.56;24.48;248.15;133.32;362.97;100.33;660.75;160.52;207.06;906.57;691.84;1121.31;536.89;1585.34;300.18;854.08;1822.36;1492.4;2152.32;1202.33;2808.87;461.25;1746.82;0.34;0.29;0.4;0.26;0.49;0.08;0.33
Erebia scipio;Erebia scipio Boisduval, 1832;Nymphalidae;9;8.7;6.19;11.22;3.25;12.52;3.27;8.97;16.14;15.59;16.7;15.22;17.2;0.72;15.95;999.88;850.88;1148.87;769.04;1330.25;193.84;953.15;70.03;58.73;81.34;53.79;93.04;14.71;65.97;39.72;15.39;64.04;0.97;103.2;31.64;37.07;166.04;70.48;261.6;5.38;385.08;124.32;144.46;627.47;384.77;870.18;166.78;1099.16;315.75;615.22;1399.32;995.55;1803.1;599.03;2128.91;525.29;1417;0.47;0.4;0.53;0.4;0.62;0.08;0.43
Erebia sthennyo;Erebia sthennyo Graslin, 1850;Nymphalidae;10;9.5;7.16;11.84;4.49;13.7;3.27;10.22;16.14;15.83;16.44;15.51;17.02;0.42;16.06;982.78;809.67;1155.9;530.2;1285.86;242;981.94;54.1;47.77;60.43;41.4;64.97;8.85;55.42;68.99;33.88;104.09;4.32;148.36;49.07;78.97;238.43;121.2;355.66;15.31;499.63;163.87;269.05;728.08;471.24;984.91;206.38;1252.89;359.03;800.3;1544.97;1144.56;1945.39;710.79;2346.08;559.74;1655.73;0.46;0.42;0.51;0.32;0.55;0.07;0.48
Erebia stiria;Erebia stiria (Godart, 1824);Nymphalidae;17;7.22;5.89;8.55;3.12;12.19;2.59;7.08;18.35;17.75;18.95;16.61;21.36;1.17;18.33;1253.05;1090.83;1415.26;841.36;1782.31;315.49;1190.39;85.62;77.5;93.74;47.3;103.32;15.79;89.41;17.91;11.09;24.73;2.48;40.27;13.26;13.11;134.97;88.01;181.92;19.51;338.89;91.33;104.32;605.03;471.74;738.31;226.45;1159.46;259.23;554.33;1315.8;1088.01;1543.59;648.38;2256.91;443.04;1249.49;0.62;0.56;0.68;0.4;0.76;0.11;0.64
Erebia styx;Erebia styx (Freyer, 1834);Nymphalidae;25;6.64;5.24;8.05;0.85;12.52;3.4;6.47;17.72;16.97;18.47;14.44;21.36;1.81;18.07;1208.03;1096.89;1319.16;841.36;1782.31;269.23;1185.61;86.03;78.65;93.41;47.3;118.59;17.87;91.32;15.4;9.92;20.88;1.35;40.27;13.28;12.27;124.36;81.61;167.12;6.83;354.03;103.58;100.51;555.17;425.18;685.15;111.96;1183.43;314.9;526.51;1221.25;990.15;1452.35;372.71;2297.1;559.86;1182.99;0.63;0.58;0.68;0.4;0.82;0.12;0.65
Erebia sudetica;Erebia sudetica Staudinger, 1861;Nymphalidae;13;5.61;4.02;7.19;1.28;9.49;2.62;6.6;17.96;16.52;19.4;15.03;22.65;2.38;18.62;1016.41;833.55;1199.26;647.99;1544;302.6;863.75;67.84;56.41;79.27;31.27;95;18.92;66.38;11.18;4.69;17.66;0.4;39.06;10.73;8.39;89.17;48.54;129.8;3.08;235.16;67.23;104.33;467.49;314.17;620.8;100.8;950.54;253.7;547.76;1069.04;804.6;1333.48;408.98;1875.92;437.6;1246.07;0.55;0.47;0.62;0.37;0.79;0.12;0.51
Erebia triaria;Erebia triaria (Prunner, 1798);Nymphalidae;72;9.28;8.4;10.17;0.85;14.18;3.76;10.35;16.1;15.65;16.54;10.4;21.36;1.91;16.16;957.83;894;1021.66;434.28;1564.51;271.64;948.54;67.24;60.9;73.57;35.83;205.57;26.96;58.63;66.73;51.55;81.92;0.78;291.74;64.63;54.95;238.42;197.36;279.48;5.38;705.12;174.73;234.99;733.13;648.76;817.49;111.96;1358.44;359.03;772.97;1533.45;1395.65;1671.26;372.71;2346.08;586.43;1653.99;0.47;0.44;0.51;0.24;0.81;0.14;0.45
